,2010/1/1,2010/6/30,2010/12/27,2011/6/25,2011/12/22,2012/6/19,2012/12/16,2013/6/14,2013/12/11,2014/6/9,2014/12/6,2015/6/4,2015/12/1,2016/5/29,2016/11/25,2017/5/24,2017/11/20,2018/5/19,2018/11/15,2019/5/14,2019/11/10,2020/5/8,2020/11/4,2021/5/3,2021/10/30,
一口香,107000,213000,1340000,1860000,1790000,1900000,2310000,2240000,2750000,2860000,3220000,3410000,4330000,5380000,6060000,7510000,7720000,9280000,10700000,12700000,15000000,18700000,21300000,26700000,31300000,
カステラ,37700,49800,59300,69000,73500,86200,94500,103000,560000,1290000,1710000,1900000,2180000,2440000,2990000,3200000,3710000,4240000,5060000,5260000,5920000,6070000,6900000,7560000,8850000,
カスドース,951,1070,1070,1170,1250,1480,1430,1520,1620,1960,1800,1940,2160,2410,2320,2620,2640,2910,3730,4160,4640,4530,4780,5320,5860,
かす巻,8420,10500,11700,12500,13500,17000,18100,18400,21700,24700,25600,28900,33400,37300,40900,49500,55300,65300,75000,81200,92100,98200,120000,132000,145000,
かんころもち,7780,8960,9380,11200,11100,12400,13400,13900,18800,20900,22500,26000,29100,30900,34400,41700,48100,52100,61000,80300,87400,92100,106000,129000,143000,
九十九島せんぺい,573,661,757,849,1210,1440,1580,1920,1960,2410,2810,2930,3250,4010,5290,7290,10100,14100,15700,18500,21400,24300,26400,31000,36900,
栗饅頭,1780,1760,2260,2500,2940,3180,3310,3770,3890,4650,5980,5210,7250,6460,7470,7850,12400,11400,14400,13700,16000,18300,21800,24200,27700,
牛蒡餅,2270,2570,3080,3390,3780,4530,4760,5800,6440,7360,8600,9880,11500,13200,16000,19500,21700,24400,27200,31300,37100,39400,45300,50300,56300,
桃カステラ,4600,4960,6200,6940,7800,9980,10100,11900,13100,15200,15500,19200,23300,28600,33800,39900,48600,57800,64100,70700,85200,87000,103000,121000,1140000,
梅ヶ枝餅,1840,2010,2210,2730,2720,3160,3440,3860,4430,4690,5190,7180,8040,8310,11500,11900,16300,16400,17900,22200,22600,26300,29400,37600,41000,
堅パン,522,612,884,1010,1470,1410,1580,2190,2560,3060,3220,3960,4490,4850,5860,6670,8080,9600,10600,13600,15700,17200,18100,22200,23400,
草木饅頭,561,655,693,784,1040,1060,1190,1430,1690,1740,2300,2300,2590,2920,3600,3810,4370,5150,5740,6110,6780,7480,8480,9710,10400,
栗饅頭,1780,1760,2260,2500,2940,3180,3310,3770,4060,4290,5980,5210,7250,5840,7470,7850,12400,11400,14400,13700,16000,18300,21800,24200,27700,
黒ダイヤ+%28菓子%29,9610,11400,13000,15800,19200,18600,19900,22000,24100,28700,30300,34700,38500,48700,56600,63300,78400,89100,99400,118000,132000,147000,165000,185000,232000,
黒棒,98700,126000,147000,161000,167000,204000,1730000,2520000,2910000,3150000,3420000,4370000,5380000,5570000,6120000,6900000,7600000,8960000,9200000,11100000,11800000,13700000,13700000,16500000,17100000,
鶏卵素麺,1380,1570,1940,2300,2810,3440,3720,4170,5560,5710,7500,8940,11200,13400,14400,20200,21200,25000,29100,31400,36600,41500,47100,52500,57100,
小菊饅頭,102,265,267,344,298,323,353,373,418,466,505,597,685,827,1180,1160,1330,1470,1570,1890,1830,2520,2160,2480,2560,
小倉日記+%28銘菓%29,354,395,581,559,643,781,854,951,1070,1170,1320,1640,1940,2490,2810,2970,3180,3800,3920,4170,4490,4950,5150,6200,7070,
千鳥饅頭,859,1250,1320,1470,1880,1930,2210,2480,2770,3100,3430,3990,4450,5150,5950,6690,8310,10300,10600,11500,13500,13900,15500,17800,21000,
筑紫もち,1510,1690,2050,2500,2380,3180,3230,3200,3680,3780,4190,5340,5060,5650,6710,7100,8460,10800,12800,14400,16100,17600,19800,22400,25600,
鶴乃子,396,345,396,427,488,783,821,676,943,1270,1190,1470,2110,2290,2620,2720,3800,3780,4190,5030,5510,5970,6610,7430,9680,
成金饅頭,258,236,299,296,328,451,563,681,869,979,1430,1290,1580,2070,1990,2060,2660,3120,3370,3570,3670,4770,4470,5190,6760,
二◯加煎餅,66,71,109,93,108,188,220,237,232,233,321,349,344,527,530,625,735,1150,1120,1260,1420,1630,1940,2370,2830,
博多通りもん,10700,12700,15000,17400,19400,24300,27200,30500,34800,37900,45600,51200,56500,62200,70800,78400,88800,141000,513000,968000,1300000,1550000,1720000,1850000,1860000,
博多の梅,34000,38700,41900,53000,53400,66200,78600,93500,109000,109000,118000,145000,140000,164000,191000,216000,248000,280000,298000,334000,561000,1750000,2830000,4690000,5010000,
博多の女,53300,61900,91100,90300,103000,127000,140000,175000,1070000,1880000,2790000,3190000,3150000,3500000,3940000,4570000,4780000,4860000,5490000,5380000,5960000,5230000,6320000,7280000,7550000,
博多ぽてと,13100,14500,17000,19400,22100,26300,29700,38100,37700,43400,46300,56300,61100,68700,83000,99700,113000,132000,146000,161000,251000,847000,1960000,2910000,3770000,
ひよ子,3100,3500,3960,5180,4580,5540,6070,6510,6380,7550,8080,9780,11100,11600,12100,16200,17300,25800,23500,32500,32500,38400,35500,45400,57200,
ひよ子サブレー,78,100,108,122,131,155,187,206,220,240,277,313,361,402,486,564,823,1090,1230,1320,1460,1760,1690,2000,3380,
ぽんつく,159,199,281,265,342,323,453,425,480,528,646,668,840,877,997,1080,1710,1490,1670,2010,1940,2140,2340,2600,3180,
めんべい,17800,19700,22700,25500,27700,31200,33800,37100,43100,48400,55900,66000,77200,88600,104000,625000,1480000,1850000,2220000,2750000,3460000,3950000,4400000,5290000,6160000,
雪うさぎ+%28銘菓%29,48,57,67,80,79,92,99,113,120,129,137,154,167,178,209,246,350,339,380,439,487,531,565,694,742,
ういろう+%28菓子%29,3770,4020,4770,4950,6120,6330,6420,8730,8930,9560,10700,14000,15300,18200,18600,24000,25900,33900,36100,38800,47900,52000,67400,66100,74500,
軽羹,533,573,607,939,779,921,1140,1080,1320,1610,1590,1960,2150,2500,3030,3200,3890,4510,4460,5800,5770,5570,6150,6640,7690,
鯨羊羹+%28宮崎市%29,363,434,554,730,815,1370,1620,2010,2130,2860,3130,4770,5960,7820,9290,11000,14300,16100,18100,23400,24600,25900,30900,32500,30800,
チーズ饅頭,10100,12000,14200,16300,18600,22200,24600,27600,30900,34400,37600,42700,48300,55100,64900,72700,84700,96500,108000,117000,132000,360000,1310000,1980000,2310000,
